lipids	converted_lipid_name
Cer 56:8;O2|Cer 20:3;O2/36:5	Cer 56:8(O2)|Cer 20:3(O2/36:5)
Cer 58:12;O4|Cer 40:9;O3(FA 18:2)	Cer 58:12(O4)|Cer 40:9(O3(FA 18:2))
Cer 58:14;O4|Cer 38:9;O3(FA 20:4)	Cer 58:14(O4)|Cer 38:9(O3(FA 20:4))
CerP 49:7;O2	CerP 49:7(O2)
DG 23:4	DG 23:4
DG 25:1	DG 25:1
DG 25:3	DG 25:3
DG 26:1	DG 26:1
DG 26:4	DG 26:4
DG 27:1	DG 27:1
DG 28:2	DG 28:2
DG 28:3	DG 28:3
DG 30:0	DG 30:0
DG 30:1|DG 14:0_16:1	DG 30:1(x)|DG 14:0_16:1(x2)
DG 31:2	DG 31:2
DG 31:3	DG 31:3
DG 32:0	DG 32:0
DG 32:0|DG 16:0_16:0	DG 32:0(x)|DG 16:0_16:0(x2)
DG 32:1|DG 16:0_16:1	DG 32:1(x)|DG 16:0_16:1(x2)
DG 32:2|DG 14:0_18:2	DG 32:2(x)|DG 14:0_18:2(x2)
DG 32:2|DG 16:1_16:1	DG 32:2(x)|DG 16:1_16:1(x2)
DG 33:1(d7)|DG 15:0_18:1(d7)	DG 33:1(d7)|DG 15:0_18:1(d7)
DG 33:1|DG 15:0_18:1	DG 33:1(x)|DG 15:0_18:1(x2)
DG 34:0	DG 34:0
DG 34:0|DG 16:0_18:0	DG 34:0(x)|DG 16:0_18:0(x2)
DG 34:1	DG 34:1
DG 34:1|DG 16:0_18:1	DG 34:1(x)|DG 16:0_18:1(x2)
DG 34:2	DG 34:2
DG 34:2|DG 16:0_18:2	DG 34:2(x)|DG 16:0_18:2(x2)
DG 34:3|DG 16:0_18:3	DG 34:3(x)|DG 16:0_18:3(x2)
DG 34:3|DG 16:1_18:2	DG 34:3(x)|DG 16:1_18:2(x2)
DG 35:1|DG 17:0_18:1	DG 35:1(x)|DG 17:0_18:1(x2)
DG 35:2|DG 17:0_18:2	DG 35:2(x)|DG 17:0_18:2(x2)
DG 35:5	DG 35:5
DG 36:0	DG 36:0
DG 36:0|DG 16:0_20:0	DG 36:0(x)|DG 16:0_20:0(x2)
DG 36:0|DG 18:0_18:0	DG 36:0(x)|DG 18:0_18:0(x2)
DG 36:1	DG 36:1
DG 36:1|DG 18:0_18:1	DG 36:1(x)|DG 18:0_18:1(x2)
DG 36:2	DG 36:2
DG 36:2|DG 15:0_21:2	DG 36:2(x)|DG 15:0_21:2(x2)
DG 36:2|DG 18:0_18:2	DG 36:2(x)|DG 18:0_18:2(x2)
DG 36:2|DG 18:1_18:1	DG 36:2(x)|DG 18:1_18:1(x2)
DG 36:3	DG 36:3
DG 36:3|DG 18:1_18:2	DG 36:3(x)|DG 18:1_18:2(x2)
DG 36:4	DG 36:4
DG 36:4|DG 16:0_20:4	DG 36:4(x)|DG 16:0_20:4(x2)
DG 36:4|DG 18:2_18:2	DG 36:4(x)|DG 18:2_18:2(x2)
DG 36:5	DG 36:5
DG 36:5|DG 16:0_20:5	DG 36:5(x)|DG 16:0_20:5(x2)
DG 36:5|DG 16:1_20:4	DG 36:5(x)|DG 16:1_20:4(x2)
DG 36:5|DG 18:2_18:3	DG 36:5(x)|DG 18:2_18:3(x2)
DG 36:6|DG 14:0_22:6	DG 36:6(x)|DG 14:0_22:6(x2)
DG 37:2|DG 18:1_19:1	DG 37:2(x)|DG 18:1_19:1(x2)
DG 37:4|DG 17:0_20:4	DG 37:4(x)|DG 17:0_20:4(x2)
DG 37:7	DG 37:7
DG 37:8	DG 37:8
DG 38:0|DG 16:0_22:0	DG 38:0(x)|DG 16:0_22:0(x2)
DG 38:0|DG 18:0_20:0	DG 38:0(x)|DG 18:0_20:0(x2)
DG 38:1|DG 20:0_18:1	DG 38:1(x)|DG 20:0_18:1(x2)
DG 38:2	DG 38:2
